Date,Reliance,TCS,HDFC_BANK,Reliance_log,TCS_logs,HDFC_logs
2022-01-06,2230.4287109375,3807.449951171875,1539.75,-0.021735959005762782,-0.013953593638408158,-0.0161698915666149
2022-01-07,2248.42724609375,3853.5,1550.550048828125,0.008037156012494558,0.012022165335682853,0.006989672606292387
2022-01-10,2250.273193359375,3879.85009765625,1559.1500244140625,0.0008206580518396052,0.0068146920282570215,0.005531078437257903
2022-01-11,2266.471923828125,3915.89990234375,1565.9000244140625,0.007172775748344791,0.009248644878156341,0.004319937531768156
2022-01-12,2326.974365234375,3859.89990234375,1556.6500244140625,0.026344464165372936,-0.014403912037123701,-0.005924662159350016
2022-01-13,2340.0810546875,3897.89990234375,1528.0,0.00561669949488743,0.00979667041590805,-0.018576401256655183
2022-01-14,2343.49609375,3968.14990234375,1545.1500244140625,0.001458304009727038,0.01786204499635904,0.01116131807179436
2022-01-17,2355.725830078125,4019.14990234375,1521.5,0.005205016548364571,0.012770446672477561,-0.015424318461234402
2022-01-18,2327.62060546875,3990.60009765625,1529.25,-0.012002341654495449,-0.007128793182081373,0.005080728785648501
2022-01-19,2327.43603515625,3914.64990234375,1518.449951171875,-7.929884718740782e-05,-0.01921571925242059,-0.00708737356636202
2022-01-20,2286.685546875,3826.550048828125,1509.0,-0.017663837894980123,-0.022762274041421268,-0.006242865788463263
2022-01-21,2287.0546875,3833.5,1521.5999755859375,0.00016141739884008904,0.001814597302790192,0.008315216978283121
2022-01-24,2194.801025390625,3771.35009765625,1486.6500244140625,-0.04117343369182168,-0.01634517057596337,-0.023237113803105735
2022-01-25,2190.509033203125,3769.89990234375,1488.050048828125,-0.001957441321401536,-0.0003846034358697011,0.0009412878495059288
2022-01-27,2158.0654296875,3649.25,1474.949951171875,-0.014921766100086083,-0.0325267829764287,-0.008842513003193603
2022-01-28,2155.98876953125,3690.050048828125,1463.25,-0.0009627418760876307,0.011118354299959271,-0.007964068618008345
2022-01-31,2202.8310546875,3736.25,1485.699951171875,0.021493932035259792,0.01244241328750092,0.015226019606576277
2022-02-01,2195.539306640625,3800.64990234375,1497.0,-0.0033156619966374047,0.01708964442545668,0.007577096641721824
2022-02-02,2200.015869140625,3856.199951171875,1531.199951171875,0.002036859449454895,0.014510150919452337,0.02258860439026455
2022-02-03,2171.58740234375,3824.60009765625,1515.3499755859375,-0.013006151645900237,-0.008228317780467242,-0.010405290557011584
2022-02-04,2151.7890625,3814.89990234375,1524.0,-0.009158803727145967,-0.002539485706011177,0.005692037993710163
2022-02-07,2138.6826171875,3779.0,1468.1500244140625,-0.006109578181418114,-0.00945500210708937,-0.03733533582648887
2022-02-08,2174.63330078125,3743.449951171875,1461.8499755859375,0.016670012955034553,-0.009451791296137277,-0.004300381254040119
2022-02-09,2199.9697265625,3760.550048828125,1497.5999755859375,0.011583546631618485,0.00455760321325906,0.024161070255139666
2022-02-10,2197.70849609375,3770.35009765625,1525.0999755859375,-0.0010283747712061953,0.0026026249636430633,0.01819615523276405
2022-02-11,2193.41650390625,3694.949951171875,1518.8499755859375,-0.001954849180698592,-0.020200851954063855,-0.004106512185349368
2022-02-14,2158.48095703125,3733.75,1473.699951171875,-0.016055662005643772,0.010446081254129462,-0.03017724138241588
2022-02-15,2231.76708984375,3817.800048828125,1517.800048828125,0.0333889749871184,0.02226126272607913,0.029485738053939458
2022-02-16,2227.152099609375,3813.10009765625,1515.75,-0.002070004719168801,-0.0012318210632967976,-0.0013515841883006564
2022-02-17,2255.349609375,3784.199951171875,1506.5,0.012581314427851244,-0.007608041198598007,-0.0061212863814841065
2022-02-18,2237.720458984375,3793.89990234375,1512.3499755859375,-0.00784730288621191,0.002559997006328361,0.0038756367197694762
2022-02-21,2215.10693359375,3719.39990234375,1522.0999755859375,-0.010157016118927347,-0.019832149320818875,0.006426227955772458
2022-02-22,2205.046142578125,3586.39990234375,1510.699951171875,-0.00455224433015337,-0.036413452068387586,-0.007517857017742321
2022-02-23,2191.247314453125,3563.800048828125,1500.9000244140625,-0.006277503344167366,-0.006321481617170937,-0.006508142799604745
2022-02-24,2082.056396484375,3401.64990234375,1419.4000244140625,-0.051114874200466384,-0.046566825698156754,-0.055830680137398975
2022-02-25,2108.085205078125,3520.75,1456.0999755859375,0.012423992254029789,0.03441345578186169,0.025527347658958404
2022-02-28,2177.86376953125,3554.199951171875,1426.25,0.03256442440140939,0.009455953935078268,-0.020712989773824776
2022-03-02,2213.86083984375,3546.14990234375,1374.25,0.016393503548609776,-0.002267508627990603,-0.0371404944355156
2022-03-03,2195.170166015625,3544.39990234375,1371.0,-0.008478409775587425,-0.0004936147643659736,-0.0023677271784553955
2022-03-04,2146.48193359375,3524.35009765625,1366.5,-0.022429375937137386,-0.00567281583187036,-0.003287674194191638
2022-03-07,2067.10400390625,3484.89990234375,1324.800048828125,-0.03768159617680171,-0.011256728433354273,-0.030991184880149777
